TIME,GEO,UNIT,PRODUCT,INDIC_NRG,Value
2004,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,64151
2004,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,154159
2004,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,45105
2004,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,56499
2004,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,15271
2004,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,30567
2004,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,85831
2004,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,151728
2004,Vereinigtes Königreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,393936
2004,Norwegen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,110617
2004,Türkei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,150698
2005,Belgien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,87025
2005,Tschechische Republik,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,82578
2005,Dänemark,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,36246
2005,Deutschland (bis 1990 früheres Gebiet der BRD),Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,620574
2005,Estland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,10205
2005,Irland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,25970
2005,Griechenland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,60020
2005,Spanien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,294077
2005,Frankreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,576204
2005,Kroatien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,12459
2005,Italien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,303699
2005,Zypern,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4377
2005,Lettland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4906
2005,Litauen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,14784
2005,Luxemburg,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,4131
2005,Ungarn,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,35756
2005,Malta,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,2240
2005,Österreich,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,66409
2005,Polen,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,156936
2005,Portugal,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,46575
2005,Rumänien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,59413
2005,Slowenien,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,15117
2005,Slowakei,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,31455
2005,Finnland,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,70572
2005,Schweden,Gigawattstunde,Elektrizität,Bruttoelektrizitätserzeugung insgesamt,158436
